imgId,prompt
000001,hyper realistic photo of very friendly and dystopian crater
000002,"ramen carved out of fractal rose ebony, in the style of hudson river school"
000003,"ultrasaurus holding a black bean taco in the woods, near an identical cheneosaurus"
000004,a thundering retro robot crane inks on parchment with a droopy french bulldog
000005,"portrait painting of a shimmering greek hero, next to a loud frill-necked lizard"
000006,"an astronaut standing on a engaging white rose, in the midst of by ivory cherry blossoms"
000007,"Kaggle employee Phil at a donut shop ordering all the best donuts, with a speech bubble that proclaims ""Donuts. It's what's for dinner!"""
000008,shop with wooden shoes
000009,"Flamingo wearing a tutu and ballet slippers, dancing on a stage"
000010,A still life painting of a vase of flowers with a twist - one of the flowers is a firework
000011,Surreal landscape with a giant teacup in the sky
